0-1		000000	Null set
1-1	0	000000	Unison
2-1	01	100000	Semitone
2-2	02	010000	Whole-tone
2-3	03	001000	Minor Third
2-4	04	000100	Major Third
2-5	05	000010	Perfect Fourth
2-6	06	000001	Tritone
3-1	012	210000	BACH /Chromatic Trimirror
3-2	013	111000	Phrygian Trichord
3-2i	023	111000	Minor Trichord
3-3	014	101100	Major-minor Trichord
3-3i	034	101100	Major-minor Trichord
3-4	015	100110	Incomplete Major-seventh Chord
3-4i	045	100110	Incomplete Major-seventh Chord
3-5	016	100011	Rite chord, Tritone-fourth
3-5i	056	100011	Rite chord, Tritone-fourth
3-6	024	020100	Whole-tone Trichord
3-7	025	011010	Incomplete Minor-seventh Chord
3-7i	035	011010	Incomplete Dominant-seventh Chord
3-8	026	010101	Incomplete Dominant-seventh Chord.1/Italian-sixth
3-8i	046	010101	Incomplete Half-dim-seventh Chord
3-9	027	010020	Quartal Trichord
3-10	036	002001	Diminished Chord
3-11	037	001110	Minor Chord
3-11i	047	001110	Major Chord
3-12	048	000300	Augmented Chord
4-1	0123	321000	BACH /Chromatic Tetramirror
4-2	0124	221100	Major-second Tetracluster
4-2i	0234	221100	Major-second Tetracluster
4-3	0134	212100	Alternating Tetramirror
4-4	0125	211110	Minor Third Tetracluster
4-4i	0345	211110	Minor Third Tetracluster
4-5	0126	210111	Major Third Tetracluster
4-5i	0456	210111	Major Third Tetracluster
4-6	0127	210021	Perfect Fourth Tetramirror
4-7	0145	201210	Arabian Tetramirror
4-8	0156	200121	Double Fourth Tetramirror
4-9	0167	200022	Double Tritone Tetramirror
4-10	0235	122010	Minor Tetramirror
4-11	0135	121110	Phrygian Tetrachord
4-11i	0245	121110	Major Tetrachord
4-12	0236	112101	Harmonic-minor Tetrachord
4-12i	0346	112101	Major-third Diminished Tetrachord
4-13	0136	112011	Minor-second Diminished Tetrachord
4-13i	0356	112011	Perfect-fourth Diminished Tetrachord
4-14	0237	111120	Major-second Minor Tetrachord
4-14i	0457	111120	Perfect-fourth Major Tetrachord
4-15	0146	111111	All-interval Tetrachord
4-15i	0256	111111	All-interval Tetrachord
4-16	0157	110121	Minor-second Quartal Tetrachord
4-16i	0267	110121	Tritone Quartal Tetrachord
4-17	0347	102210	Major-minor Tetramirror
4-18	0147	102111	Major-diminished Tetrachord
4-18i	0367	102111	Minor-diminished Tetrachord
